timestamp,location_id,product_id,regular_price,promo_price,stock_level
2025-03-17 20:13:57,01100002,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100002,0086174500001,8.99,,HIGH
2025-03-17 20:13:57,01100002,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100002,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100002,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100002,0001111060905,6.29,,HIGH
2025-03-17 20:13:57,01100002,0081565200214,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100002,0001111006479,10.99,,HIGH
2025-03-17 20:13:57,01100002,0001111060902,,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100002,0001111060903,5.89,,HIGH
2025-03-17 20:13:57,01100002,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100002,0001111060914,26.55,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100002,0001111060904,6.09,,HIGH
2025-03-17 20:13:57,01100002,0001111079770,6.49,,HIGH
2025-03-17 20:13:57,01100002,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100002,0001111060933,8.79,,HIGH
2025-03-17 20:13:57,01100002,0088742200006,11.79,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100002,0086231500024,13.29,,HIGH
2025-03-17 20:13:57,01100002,0088742200008,9.49,,LOW
2025-03-17 20:13:57,01100002,0001111060980,13.19,,HIGH
2025-03-17 20:13:57,01100002,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100002,0085138700749,9.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100002,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100002,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100012,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100012,0086174500001,8.99,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100012,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100012,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100012,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100012,0001111060905,6.39,,HIGH
2025-03-17 20:13:57,01100012,0081565200214,8.49,,HIGH
2025-03-17 20:13:57,01100012,0001111006479,10.99,,HIGH
2025-03-17 20:13:57,01100012,0001111060902,,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100012,0001111060914,26.55,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100012,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100012,0001111060903,5.99,,HIGH
2025-03-17 20:13:57,01100012,0001111060904,6.19,,HIGH
2025-03-17 20:13:57,01100012,0001111079770,6.49,,HIGH
2025-03-17 20:13:57,01100012,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100012,0001111060933,8.89,,HIGH
2025-03-17 20:13:57,01100012,0086231500024,13.29,,HIGH
2025-03-17 20:13:57,01100012,0088742200006,11.79,,HIGH
2025-03-17 20:13:57,01100012,0088742200008,9.49,,HIGH
2025-03-17 20:13:57,01100012,0001111060980,13.19,,HIGH
2025-03-17 20:13:57,01100012,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100012,0085138700749,9.49,,HIGH
2025-03-17 20:13:57,01100012,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100012,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100016,0086174500001,8.99,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100016,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100016,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100016,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100016,0071514111657,11.79,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100016,0001111060905,6.19,,HIGH
2025-03-17 20:13:57,01100016,0081565200214,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100016,0001111006479,10.99,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100016,0001111060902,,,HIGH
2025-03-17 20:13:57,01100016,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100016,0001111060914,26.55,,HIGH
2025-03-17 20:13:57,01100016,0001111060903,5.79,,HIGH
2025-03-17 20:13:57,01100016,0001111060904,5.99,,HIGH
2025-03-17 20:13:57,01100016,0001111079770,6.49,,HIGH
2025-03-17 20:13:57,01100016,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100016,0001111060933,8.65,,HIGH
2025-03-17 20:13:57,01100016,0088742200006,11.79,,HIGH
2025-03-17 20:13:57,01100016,0086231500024,13.29,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100016,0088742200008,9.49,,HIGH
2025-03-17 20:13:57,01100016,0001111060980,13.19,,HIGH
2025-03-17 20:13:57,01100016,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100016,0085138700749,9.49,,HIGH
2025-03-17 20:13:57,01100016,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100016,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100020,0071514111357,8.99,,LOW
2025-03-17 20:13:57,01100020,0086174500001,8.99,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100020,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100020,0001111060905,6.19,,HIGH
2025-03-17 20:13:57,01100020,0081565200214,8.49,,HIGH
2025-03-17 20:13:57,01100020,0001111006479,10.99,,LOW
2025-03-17 20:13:57,01100020,0001111060902,,,HIGH
2025-03-17 20:13:57,01100020,0001111060903,5.79,,HIGH
2025-03-17 20:13:57,01100020,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100020,0001111060914,26.55,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0001111060904,5.99,,HIGH
2025-03-17 20:13:57,01100020,0001111079770,6.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100020,0001111060933,8.65,,HIGH
2025-03-17 20:13:57,01100020,0088742200006,11.79,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0086231500024,13.29,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0088742200008,9.49,,HIGH
2025-03-17 20:13:57,01100020,0001111060980,13.19,,HIGH
2025-03-17 20:13:57,01100020,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100020,0085138700749,9.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100020,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100020,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100025,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100025,0086174500001,8.99,,HIGH
2025-03-17 20:13:57,01100025,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100025,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100025,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100025,0001111060905,6.39,,HIGH
2025-03-17 20:13:57,01100025,0081565200214,8.49,,HIGH
2025-03-17 20:13:57,01100025,0001111006479,10.99,,HIGH
2025-03-17 20:13:57,01100025,0001111060902,,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100025,0001111060914,29.49,,HIGH
2025-03-17 20:13:57,01100025,0001111060903,5.99,,HIGH
2025-03-17 20:13:57,01100025,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100025,0001111060904,6.19,,HIGH
2025-03-17 20:13:57,01100025,0001111079770,6.49,,HIGH
2025-03-17 20:13:57,01100025,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100025,0001111060933,8.89,,HIGH
2025-03-17 20:13:57,01100025,0088742200006,11.79,,HIGH
2025-03-17 20:13:57,01100025,0086231500024,13.29,,LOW
2025-03-17 20:13:57,01100025,0088742200008,9.49,,HIGH
2025-03-17 20:13:57,01100025,0001111060980,14.69,,LOW
2025-03-17 20:13:57,01100025,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100025,0085138700749,9.49,,HIGH
2025-03-17 20:13:57,01100025,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100025,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100026,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100026,0086174500001,8.99,,HIGH
2025-03-17 20:13:57,01100026,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100026,0081565200421,8.49,,HIGH
2025-03-17 20:13:57,01100026,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100026,0001111060905,6.39,,HIGH
2025-03-17 20:13:57,01100026,0081565200214,8.49,,HIGH
2025-03-17 20:13:57,01100026,0001111006479,10.99,,HIGH
2025-03-17 20:13:57,01100026,0001111060902,,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100026,0001111060914,26.55,,HIGH
2025-03-17 20:13:57,01100026,0001111060903,5.99,,HIGH
2025-03-17 20:13:57,01100026,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100026,0001111060904,6.19,,HIGH
2025-03-17 20:13:57,01100026,0001111079770,6.49,,HIGH
2025-03-17 20:13:57,01100026,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100026,0001111060933,8.89,,HIGH
2025-03-17 20:13:57,01100026,0088742200006,11.79,,HIGH
2025-03-17 20:13:57,01100026,0086231500024,13.29,,HIGH
2025-03-17 20:13:57,01100026,0088742200008,9.49,,HIGH
2025-03-17 20:13:57,01100026,0001111060980,13.19,,HIGH
2025-03-17 20:13:57,01100026,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100026,0085138700749,9.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100026,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100026,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100210,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100210,0086174500001,8.99,,HIGH
2025-03-17 20:13:57,01100210,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100210,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100210,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100210,0001111060905,4.89,,HIGH
2025-03-17 20:13:57,01100210,0081565200214,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100210,0001111006479,10.99,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100210,0001111060902,,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100210,0001111079772,7.49,,HIGH
2025-03-17 20:13:57,01100210,0001111060914,21.95,,LOW
2025-03-17 20:13:57,01100210,0001111060903,4.49,,HIGH
2025-03-17 20:13:57,01100210,0001111060904,4.69,,HIGH
2025-03-17 20:13:57,01100210,0001111079770,6.49,,HIGH
2025-03-17 20:13:57,01100210,0071514150349,6.19,,HIGH
2025-03-17 20:13:57,01100210,0001111060933,6.69,,HIGH
2025-03-17 20:13:57,01100210,0088742200006,11.79,,HIGH
2025-03-17 20:13:57,01100210,0086231500024,13.29,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100210,0088742200008,9.49,,HIGH
2025-03-17 20:13:57,01100210,0001111060980,10.89,,HIGH
2025-03-17 20:13:57,01100210,0001111089310,9.49,,HIGH
2025-03-17 20:13:57,01100210,0085138700749,9.49,,HIGH
2025-03-17 20:13:57,01100210,0088742200000,7.99,,HIGH
2025-03-17 20:13:57,01100210,0001111087023,6.29,,HIGH
2025-03-17 20:13:57,01100212,0086174500001,8.99,,HIGH
2025-03-17 20:13:57,01100212,0071514111357,8.99,,HIGH
2025-03-17 20:13:57,01100212,0086174500002,11.49,,HIGH
2025-03-17 20:13:57,01100212,0081565200421,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100212,0071514111657,11.79,,HIGH
2025-03-17 20:13:57,01100212,0001111060905,5.39,,HIGH
2025-03-17 20:13:57,01100212,0081565200214,8.49,,TEMPORARILY_OUT_OF_STOCK
2025-03-17 20:13:57,01100212,0001111006479,10.99,,HIGH
